2;CAETHG_0013 → / → CAETHG_0014;LTMG3;12895;Δ1 bp;27.3%;0;
2;CAETHG_0016 ←;LTMG3;14454;G→A;59.3%;0;
2;CAETHG_0038 ←;LTMG3;33341;Δ1 bp;60.9%;0;
2;CAETHG_0044 →;LTMG3;38660;Δ1 bp;45.4%;0;
2;CAETHG_0046 ←;LTMG3;40670;C→T;58.8%;0;
2;CAETHG_04075 →;LTMG3;46208;Δ1 bp;12.5%;0;
2;CAETHG_0060 →;LTMG3;55313;Δ1 bp;61.5%;0;
2;CAETHG_0071 →;LTMG3;66940;G→A;14.6%;0;
2;CAETHG_0085 ←;LTMG3;81494;+G;21.4%;0;
2;CAETHG_0085 ← / → CAETHG_0086;LTMG3;82066;T→C;100%;0;
2;CAETHG_0105 →;LTMG3;103450;T→C;22.2%;0;
2;CAETHG_0105 →;LTMG3;104548;G→A;51.8%;0;
2;CAETHG_04090 → / → CAETHG_0115;LTMG3;118932;Δ1 bp;18.6%;0;
2;CAETHG_0117 →;LTMG3;121878;A→G;20.6%;0;
2;CAETHG_0140 →;LTMG3;150117;G→A;24.9%;0;
2;CAETHG_0153 →;LTMG3;161236;+A;12.5%;0;
2;CAETHG_0153 →;LTMG3;161237;Δ1 bp;30.0%;0;
2;CAETHG_0158 ←;LTMG3;166383;Δ1 bp;15.4%;0;
2;CAETHG_0182 ←;LTMG3;189954;G→A;27.2%;0;
2;CAETHG_0182 ←;LTMG3;190138;Δ1 bp;11.7%;0;
2;CAETHG_0202 ←;LTMG3;209057;C→T;49.0%;0;
2;CAETHG_0229 ←;LTMG3;239385;C→T;25.4%;0;
2;CAETHG_0229 ←;LTMG3;240723;Δ1 bp;62.1%;0;
2;CAETHG_0234 ←;LTMG3;247885;G→A;13.8%;0;
2;CAETHG_0242 ←;LTMG3;258958;Δ1 bp;32.1%;0;
2;CAETHG_0247 ←;LTMG3;266884;+T;53.0%;0;
2;CAETHG_04135 ← / ← CAETHG_0265;LTMG3;283807;C→T;49.2%;0;
2;CAETHG_0284 ←;LTMG3;303165;Δ1 bp;35.3%;0;
2;CAETHG_0292 ←;LTMG3;310266;Δ1 bp;23.7%;0;
2;CAETHG_0315 ←;LTMG3;332694;Δ1 bp;28.1%;0;
2;CAETHG_04160 ← / → CAETHG_0338;LTMG3;353066;C→T;36.9%;0;
2;CAETHG_0373 ←;LTMG3;399024;A→G;33.7%;0;
2;CAETHG_0387 ←;LTMG3;417385;+T;36.8%;0;
2;CAETHG_0442 ← / ← CAETHG_0444;LTMG3;483693;Δ1 bp;38.1%;0;
2;CAETHG_0445 ←;LTMG3;486431;C→T;52.2%;0;
2;CAETHG_0457 ←;LTMG3;502851;Δ1 bp;13.2%;0;
2;CAETHG_0485 ←;LTMG3;543950;T→C;12.7%;0;
2;CAETHG_0485 ←;LTMG3;544848;C→T;37.5%;0;
2;CAETHG_0529 ← / ← CAETHG_0530;LTMG3;583988;Δ1 bp;65.7%;0;
2;CAETHG_0546 ← / ← CAETHG_0550;LTMG3;605376;A→G;14.3%;0;
2;CAETHG_0546 ← / ← CAETHG_0550;LTMG3;605579;Δ1 bp;25.0%;0;
2;CAETHG_0557 ←;LTMG3;615340;A→G;44.0%;0;
2;CAETHG_0587 ←;LTMG3;646121;Δ1 bp;100%;0;
2;CAETHG_0621 →;LTMG3;685749;C→T;25.9%;0;
2;CAETHG_0664 → / ← CAETHG_0665;LTMG3;725913;Δ1 bp;26.3%;0;
2;CAETHG_0700 →;LTMG3;766705;Δ1 bp;50.0%;0;
2;CAETHG_0728 ←;LTMG3;786929;Δ1 bp;64.5%;0;
2;CAETHG_0732 ←;LTMG3;791894;G→A;50.0%;0;
2;CAETHG_0762 ← / → CAETHG_0767;LTMG3;826011;G→A;39.4%;0;
2;CAETHG_0780 →;LTMG3;837955;C→T;43.2%;0;
2;CAETHG_04315 ← / ← CAETHG_0811;LTMG3;868744;C→T;13.8%;0;
2;CAETHG_0830 ← / → CAETHG_0831;LTMG3;897069;G→T;15.4%;0;
2;CAETHG_0850 ←;LTMG3;918761;C→T;19.4%;0;
2;CAETHG_0850 ← / ← CAETHG_0852;LTMG3;919032;G→A;33.4%;0;
2;CAETHG_0855 ← / ← CAETHG_0857;LTMG3;923214;Δ1 bp;24.4%;0;
2;CAETHG_0897 ←;LTMG3;963927;A→G;51.0%;0;
2;CAETHG_0898 ←;LTMG3;966800;Δ1 bp;11.4%;0;
2;CAETHG_0906 ←;LTMG3;975715;C→T;21.7%;0;
2;CAETHG_0920 →;LTMG3;990300;C→T;42.2%;0;
2;CAETHG_0964 ← / → CAETHG_0965;LTMG3;1032845;A→G;44.4%;0;
2;CAETHG_0965 →;LTMG3;1033529;Δ1 bp;45.5%;0;
2;CAETHG_1009 → / ← CAETHG_1012;LTMG3;1082156;A→G;12.5%;0;
2;CAETHG_1028 →;LTMG3;1104124;C→T;46.1%;0;
2;CAETHG_04480 → / → CAETHG_1072;LTMG3;1158827;C→T;11.7%;0;
2;CAETHG_1141 ←;LTMG3;1231066;Δ1 bp;12.9%;0;
2;CAETHG_1152 ← / → CAETHG_1153;LTMG3;1242245;+A;30.4%;0;
2;CAETHG_1218 →;LTMG3;1303841;Δ1 bp;25.7%;0;
2;CAETHG_1259 ← / → CAETHG_1260;LTMG3;1346819;A→G;23.5%;0;
2;CAETHG_1282 ←;LTMG3;1369639;C→T;47.1%;0;
2;CAETHG_1338 ←;LTMG3;1429978;Δ1 bp;50.0%;0;
2;CAETHG_1353 ←;LTMG3;1450282;A→G;40.0%;0;
2;CAETHG_1419 ← / ← CAETHG_1420;LTMG3;1517593;Δ1 bp;13.3%;0;
2;CAETHG_04590 ←;LTMG3;1518834;Δ1 bp;46.2%;0;
2;CAETHG_04590 ← / → CAETHG_1422;LTMG3;1519171;+A;28.6%;0;
2;CAETHG_1440 →;LTMG3;1541456;Δ1 bp;20.0%;0;
2;CAETHG_1450 → / → CAETHG_1451;LTMG3;1555421;Δ1 bp;50.0%;0;
2;CAETHG_1494 ←;LTMG3;1595188;C→T;19.4%;0;
2;CAETHG_1509 ←;LTMG3;1611212;A→G;61.1%;0;
2;CAETHG_1570 ←;LTMG3;1678666;C→T;12.5%;0;
2;CAETHG_1590 → / → CAETHG_1591;LTMG3;1707485;+T;20.5%;0;
2;CAETHG_1608 ←;LTMG3;1729677;C→T;42.2%;0;
2;CAETHG_1608 ←;LTMG3;1731638;T→C;100%;0;
2;CAETHG_1614 ←;LTMG3;1737971;C→T;74.7%;0;
2;CAETHG_1634 ←;LTMG3;1756000;Δ1 bp;30.4%;0;
2;CAETHG_1648 ← / ← CAETHG_1650;LTMG3;1773469;Δ1 bp;32.1%;0;
2;CAETHG_1676 →;LTMG3;1797714;Δ1 bp;35.5%;0;
2;CAETHG_1687 ←;LTMG3;1811493;A→G;13.4%;0;
2;CAETHG_1691 ←;LTMG3;1820711;+T;35.1%;0;
2;CAETHG_1693 ←;LTMG3;1824749;G→A;44.1%;0;
2;CAETHG_1706 →;LTMG3;1840004;C→T;27.9%;0;
2;CAETHG_1740 →;LTMG3;1875585;Δ1 bp;40.7%;0;
2;CAETHG_1784 ←;LTMG3;1920387;Δ1 bp;32.7%;0;
2;CAETHG_1790 ←;LTMG3;1928108;Δ1 bp;30.8%;0;
2;CAETHG_1811 → / ← CAETHG_1812;LTMG3;1951021;Δ1 bp;19.6%;0;
2;CAETHG_1834 ←;LTMG3;1971823;A→G;13.7%;0;
2;CAETHG_04775 ←;LTMG3;1983249;A→G;30.8%;0;
2;CAETHG_1847 ← / ← CAETHG_1848;LTMG3;1985545;C→T;22.7%;0;
2;CAETHG_1905 ←;LTMG3;2049520;T→C;46.3%;0;
2;CAETHG_1954 ←;LTMG3;2086061;C→T;16.5%;0;
2;CAETHG_1955 ←;LTMG3;2090647;C→T;23.2%;0;
2;CAETHG_1971 →;LTMG3;2103532;T→C;38.9%;0;
2;CAETHG_2001 ← / ← CAETHG_2002;LTMG3;2147084;Δ1 bp;19.1%;0;
2;CAETHG_2034 → / → CAETHG_2035;LTMG3;2178994;+T;45.5%;0;
2;CAETHG_2042 ←;LTMG3;2185861;T→C;35.4%;0;
2;CAETHG_2075 ← / → CAETHG_2079;LTMG3;2220617;Δ1 bp;55.6%;0;
2;CAETHG_2114 ←;LTMG3;2254000;C→T;57.9%;0;
2;CAETHG_2124 → / → CAETHG_2125;LTMG3;2263916;Δ1 bp;43.5%;0;
2;CAETHG_04945 →;LTMG3;2282081;Δ1 bp;71.4%;0;
2;CAETHG_2137 →;LTMG3;2283883;G→A;37.1%;0;
2;CAETHG_2163 ← / ← CAETHG_2166;LTMG3;2308388;T→C;13.4%;0;
